Date,County,None,D0,D1,D2,D3,D4
2013-03,Marin,0.305,99.695,0.0,0.0,0.0,0.0
2013-03,Mariposa,0.0,27.5,72.5,0.0,0.0,0.0
2013-03,Mendocino,50.0,50.0,0.0,0.0,0.0,0.0
2013-03,Merced,0.0,10.735,89.265,0.0,0.0,0.0
2013-03,Modoc,0.0,5.202500000000001,65.01249999999999,29.792499999999997,0.0,0.0
2013-03,Mono,0.0,4.5975,71.05000000000001,24.354999999999997,0.0,0.0
2013-03,Monterey,0.0,66.2675,32.902499999999996,0.84,0.0,0.0
2013-03,Napa,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Nevada,30.08,69.1,0.8200000000000001,0.0,0.0,0.0
2013-03,Orange,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Placer,26.225,73.775,0.0,0.0,0.0,0.0
2013-03,Plumas,22.04,76.6075,1.3525,0.0,0.0,0.0
2013-03,Riverside,0.0,49.9375,45.0125,5.05,0.0,0.0
2013-03,Sacramento,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,San Benito,0.0,41.37,58.63,0.0,0.0,0.0
2013-03,San Bernardino,0.0,25.415,20.045,54.54,0.0,0.0
2013-03,San Diego,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,San Francisco,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,San Joaquin,0.0,98.5825,1.4175,0.0,0.0,0.0
2013-03,San Luis Obispo,0.0,15.667499999999999,76.7,7.6325,0.0,0.0
2013-03,San Mateo,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Santa Barbara,0.0,81.36250000000001,18.6375,0.0,0.0,0.0
2013-03,Santa Clara,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Santa Cruz,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Shasta,32.917500000000004,67.0825,0.0,0.0,0.0,0.0
2013-03,Sierra,23.875,62.63250000000001,13.4925,0.0,0.0,0.0
2013-03,Siskiyou,11.1375,88.16,0.7025,0.0,0.0,0.0
2013-03,Solano,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Sonoma,29.64,70.36,0.0,0.0,0.0,0.0
2013-03,Stanislaus,0.0,52.82,47.18,0.0,0.0,0.0
2013-03,Sutter,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Tehama,12.34,87.66,0.0,0.0,0.0,0.0
2013-03,Trinity,48.7525,51.2475,0.0,0.0,0.0,0.0
2013-03,Tulare,0.0,0.0,0.0,100.0,0.0,0.0
2013-03,Tuolumne,2.61,57.5575,39.8375,0.0,0.0,0.0
2013-03,Ventura,0.3125,92.15,7.5375,0.0,0.0,0.0
2013-03,Yolo,0.0,100.0,0.0,0.0,0.0,0.0
2013-03,Yuba,12.805,87.195,0.0,0.0,0.0,0.0
2013-04,Alameda,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Alpine,0.0,61.303999999999995,38.696000000000005,0.0,0.0,0.0
2013-04,Amador,0.0,99.752,0.248,0.0,0.0,0.0
2013-04,Butte,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Calaveras,0.0,62.972,37.028000000000006,0.0,0.0,0.0
2013-04,Colusa,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Contra Costa,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Del Norte,60.0,40.0,0.0,0.0,0.0,0.0
2013-04,El Dorado,0.0,94.048,5.952,0.0,0.0,0.0
2013-04,Fresno,0.0,0.0,31.266000000000002,68.73400000000001,0.0,0.0
2013-04,Glenn,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Humboldt,47.586,52.41400000000001,0.0,0.0,0.0,0.0
2013-04,Imperial,0.0,20.588,63.96999999999999,15.443999999999999,0.0,0.0
2013-04,Inyo,0.0,0.0,4.65,95.35,0.0,0.0
2013-04,Kern,0.0,0.0,28.823999999999995,71.176,0.0,0.0
2013-04,Kings,0.0,0.0,0.0,100.0,0.0,0.0
2013-04,Lake,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Lassen,0.0,35.936,61.489999999999995,2.5700000000000003,0.0,0.0
2013-04,Los Angeles,0.0,44.544,42.326,13.13,0.0,0.0
2013-04,Madera,0.0,0.0,73.15799999999999,26.842000000000002,0.0,0.0
2013-04,Marin,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Mariposa,0.0,0.0,100.0,0.0,0.0,0.0
2013-04,Mendocino,0.024,99.976,0.0,0.0,0.0,0.0
2013-04,Merced,0.0,10.828,89.172,0.0,0.0,0.0
2013-04,Modoc,0.0,4.696,89.344,5.962,0.0,0.0
2013-04,Mono,0.0,0.942,70.27000000000001,28.788000000000004,0.0,0.0
2013-04,Monterey,0.0,66.44000000000001,32.662,0.9039999999999999,0.0,0.0
2013-04,Napa,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Nevada,0.0,94.924,5.076,0.0,0.0,0.0
2013-04,Orange,0.0,60.0,40.0,0.0,0.0,0.0
2013-04,Placer,0.0,92.55199999999999,7.448,0.0,0.0,0.0
2013-04,Plumas,0.0,98.728,1.272,0.0,0.0,0.0
2013-04,Riverside,0.0,34.308,48.03399999999999,17.657999999999998,0.0,0.0
2013-04,Sacramento,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,San Benito,0.0,41.656000000000006,58.343999999999994,0.0,0.0,0.0
2013-04,San Bernardino,0.0,19.532,23.424,57.044,0.0,0.0
2013-04,San Diego,0.0,63.334,36.036,0.63,0.0,0.0
2013-04,San Francisco,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,San Joaquin,0.0,91.102,8.898,0.0,0.0,0.0
2013-04,San Luis Obispo,0.0,14.157999999999998,75.28,10.561999999999998,0.0,0.0
2013-04,San Mateo,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Santa Barbara,0.0,53.67,45.71000000000001,0.62,0.0,0.0
2013-04,Santa Clara,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Santa Cruz,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Shasta,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Sierra,0.0,84.73599999999999,15.264000000000001,0.0,0.0,0.0
2013-04,Siskiyou,5.804,82.982,11.209999999999999,0.0,0.0,0.0
2013-04,Solano,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Sonoma,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Stanislaus,0.0,49.554,50.446,0.0,0.0,0.0
2013-04,Sutter,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Tehama,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Trinity,0.09200000000000001,99.90799999999999,0.0,0.0,0.0,0.0
2013-04,Tulare,0.0,0.0,0.0,100.0,0.0,0.0
2013-04,Tuolumne,0.0,16.919999999999998,83.08000000000001,0.0,0.0,0.0
2013-04,Ventura,0.0,57.17,42.14600000000001,0.6839999999999999,0.0,0.0
2013-04,Yolo,0.0,100.0,0.0,0.0,0.0,0.0
2013-04,Yuba,0.0,100.0,0.0,0.0,0.0,0.0
2013-05,Alameda,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Alpine,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Amador,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Butte,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Calaveras,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Colusa,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Contra Costa,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Del Norte,0.0,7.92,92.08,0.0,0.0,0.0
2013-05,El Dorado,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Fresno,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Glenn,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Humboldt,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Imperial,0.0,3.46,16.35,80.19,0.0,0.0
2013-05,Inyo,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Kern,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Kings,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Lake,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Lassen,0.0,0.0,98.8,1.2,0.0,0.0
2013-05,Los Angeles,0.0,0.0,70.82,29.18,0.0,0.0
2013-05,Madera,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Marin,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Mariposa,0.0,0.0,0.0,100.0,0.0,0.0
2013-05,Mendocino,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Merced,0.0,0.0,9.89,90.11,0.0,0.0
2013-05,Modoc,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Mono,0.0,0.0,2.31,97.69,0.0,0.0
2013-05,Monterey,0.0,0.0,66.59,33.41,0.0,0.0
2013-05,Napa,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Nevada,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Orange,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Placer,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Plumas,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Riverside,0.0,10.77,37.07,52.16,0.0,0.0
2013-05,Sacramento,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,San Benito,0.0,0.0,41.92,58.08,0.0,0.0
2013-05,San Bernardino,0.0,9.26,14.14,76.6,0.0,0.0
2013-05,San Diego,0.0,0.0,80.57,19.43,0.0,0.0
2013-05,San Francisco,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,San Joaquin,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,San Luis Obispo,0.0,0.0,7.83,92.17,0.0,0.0
2013-05,San Mateo,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Santa Barbara,0.0,0.0,22.15,77.85,0.0,0.0
2013-05,Santa Clara,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Santa Cruz,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Shasta,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Sierra,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Siskiyou,0.0,0.0,100.0,0.0,0.0,0.0
2013-05,Solano,0.0,0.0,100.0,0.0,0.0,0.0
