Date,County,Duration,AcresBurned
2016-09,Nevada,4.0,47.0
2016-09,Inyo,2.0,5443.0
2016-09,Modoc,27.0,2652.0
2016-09,Santa Barbara,11.0,12518.0
2016-09,Santa Barbara,6.0,215.0
2016-09,Butte,2.0,130.0
2016-09,Sutter,1.0,300.0
2016-09,Amador,3.0,45.0
2016-09,Tuolumne,9.0,1080.0
2016-09,Fresno,2.0,70.0
2016-09,Shasta,1.0,100.0
2016-09,Sonoma,5.0,1547.0
2016-09,Plumas,11.0,248.0
2016-09,Santa Clara,359.0,4474.0
2016-10,Fresno,10.0,2100.0
2016-10,El Dorado,4.0,176.0
2016-11,San Diego,2.0,28.0
2016-11,Los Angeles,1.0,4824.0
2016-10,Tulare,61.0,10.0
2016-10,Tulare,52.0,4347.0
2018-04,Fresno,267.0,30.0
2017-02,Butte,337.0,0.0
2017-04,Shasta,282.0,45.0
2017-04,Modoc,282.0,380.0
2017-04,Riverside,272.0,15.0
2017-04,Fresno,265.0,5738.0
2017-04,Monterey,261.0,10.0
2017-04,Fresno,257.0,976.0
2017-04,Fresno,256.0,126.0
2017-04,San Bernardino,255.0,150.0
2017-04,Riverside,255.0,1350.0
2017-04,Riverside,255.0,12.0
2017-05,Kern,254.0,19.0
2017-05,San Luis Obispo,253.0,130.0
2017-05,San Luis Obispo,248.0,12.0
2017-05,Fresno,245.0,400.0
2017-05,Kern,243.0,31.0
2017-05,Merced,243.0,1800.0
2017-05,Monterey,241.0,20.0
2017-05,Riverside,241.0,17.0
2017-05,Kern,241.0,41.0
2017-05,San Luis Obispo,240.0,225.0
2017-05,Kern,240.0,288.0
2017-05,Monterey,239.0,18.0
2017-05,Monterey,238.0,17.0
2017-05,Madera,238.0,150.0
2017-05,San Luis Obispo,237.0,225.0
2017-05,Fresno,237.0,10343.0
2017-05,Kings,237.0,20.0
2017-05,Riverside,237.0,14.0
2017-05,Fresno,236.0,70.0
2017-05,San Luis Obispo,236.0,0.0
2017-05,San Diego,236.0,486.0
2017-05,San Diego,235.0,2056.0
2017-05,San Luis Obispo,235.0,17.0
2017-05,Kern,235.0,506.0
2017-05,Riverside,232.0,10.0
2017-05,Santa Barbara,235.0,190.0
2017-05,San Diego,231.0,25.0
2017-05,San Benito,233.0,21.0
2017-05,Riverside,234.0,35.0
2017-05,San Diego,230.0,1000.0
2017-05,Riverside,230.0,120.0
2017-05,Kern,227.0,10.0
